Database name: pubs
Tables in snapshot: 11

Table: authors
Columns: au_id (TEXT), au_lname (TEXT), au_fname (TEXT), phone (TEXT), address (TEXT), city (TEXT), state (TEXT), zip (TEXT), contract (INTEGER)
Snapshot rows: 23 / remote rows: 23
Sample rows:
| au_id       | au_lname   | au_fname   | phone        | address           | city       | state   |   zip |   contract |
|:------------|:-----------|:-----------|:-------------|:------------------|:-----------|:--------|------:|-----------:|
| 172-32-1176 | White      | Johnson    | 408 496-7223 | 10932 Bigge Rd.   | Menlo Park | CA      | 94025 |          1 |
| 213-46-8915 | Green      | Marjorie   | 415 986-7020 | 309 63rd St. #411 | Oakland    | CA      | 94618 |          1 |
| 238-95-7766 | Carson     | Cheryl     | 415 548-7723 | 589 Darwin Ln.    | Berkeley   | CA      | 94705 |          1 |

Table: discounts
Columns: discounttype (TEXT), stor_id (TEXT), lowqty (INTEGER), highqty (INTEGER), discount (REAL)
Snapshot rows: 3 / remote rows: 3
Sample rows:
| discounttype      |   stor_id |   lowqty |   highqty |   discount |
|:------------------|----------:|---------:|----------:|-----------:|
| Initial Customer  |       nan |      nan |       nan |       10.5 |
| Volume Discount   |       nan |      100 |      1000 |        6.7 |
| Customer Discount |      8042 |      nan |       nan |        5   |

Table: employee
Columns: emp_id (TEXT), fname (TEXT), minit (TEXT), lname (TEXT), job_id (INTEGER), job_lvl (INTEGER), pub_id (TEXT), hire_date (TEXT)
Snapshot rows: 43 / remote rows: 43
Sample rows:
| emp_id    | fname   | minit   | lname   |   job_id |   job_lvl |   pub_id | hire_date           |
|:----------|:--------|:--------|:--------|---------:|----------:|---------:|:--------------------|
| A-C71970F | Aria    | nan     | Cruz    |       10 |        87 |     1389 | 1991-10-26T00:00:00 |
| A-R89858F | Annette | nan     | Roulet  |        6 |       152 |     9999 | 1990-02-21T00:00:00 |
| AMD15433F | Ann     | M       | Devon   |        3 |       200 |     9952 | 1991-07-16T00:00:00 |

Table: jobs
Columns: job_id (INTEGER), job_desc (TEXT), min_lvl (INTEGER), max_lvl (INTEGER)
Snapshot rows: 14 / remote rows: 14
Sample rows:
|   job_id | job_desc                     |   min_lvl |   max_lvl |
|---------:|:-----------------------------|----------:|----------:|
|        1 | New Hire - Job not specified |        10 |        10 |
|        2 | Chief Executive Officer      |       200 |       250 |
|        3 | Business Operations Manager  |       175 |       225 |

Table: publishers
Columns: pub_id (TEXT), pub_name (TEXT), city (TEXT), state (TEXT), country (TEXT)
Snapshot rows: 8 / remote rows: 8
Sample rows:
|   pub_id | pub_name             | city       | state   | country   |
|---------:|:---------------------|:-----------|:--------|:----------|
|      736 | New Moon Books       | Boston     | MA      | USA       |
|      877 | Binnet & Hardley     | Washington | DC      | USA       |
|     1389 | Algodata Infosystems | Berkeley   | CA      | USA       |

Table: pub_info
Columns: pub_id (TEXT), logo (BLOB), pr_info (TEXT)
Snapshot rows: 8 / remote rows: 8
Sample rows:
|   pub_id | logo    | pr_info                                                                                                                                          |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
|          |         | This is sample text data for New Moon Books, publisher 0736 in the pubs database. New Moon Books is located in Boston, Massachusetts.            |
|          |         |                                                                                                                                                  |
