customerid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax
BLONP,Blondeddsl pre et fils,Frdrique Citeaux,Управляющий маркетингом,"24, место Клбер",Страсбург,,67000,Франция,88.60.15.31,88.60.15.32
FOLKO,Народная оха f HB,Мария Ларсон,Владелец,Kergatan 24,Брчек,,S-844 72,Франция,0695-34 67 21,
HUNGO,Голодная сова Всепросветные разбойники,Патриция МакКенна,Ассоциированный сотрудник по продажам,8 &lt; &lt; Джонстаун роуд &gt; &gt;,Корк,Ко. Корк,,Италия,2967 542,2967 3333
VAFFE,Vaffeljernet,Пэлли Ибсен,Менеджер по продажам,Смагстет 45,Рус,,8200,Дания,86 21 32 43,86 22 33 44
WELLI,Веллингтон импортдора,Паула Родитель,Менеджер по продажам,"Руа-ду-Меркадо, 12",Resende,СП,08737-363,Бразилия,(14) 555 - 8122,
ROMEY,Ромеро и Томильо,Алехандра Камино,Бухгалтер,"Бабушка Va, 1",Мадрид,,28001,Испания,(91) 745 6200,(91) 745 6210
WHITC,Рынки белого кловера,Карл Яблонски,Владелец,305 - 14-е авеню S. Suite 3B,Сиэтл,WA,98128,США,(206) 555-4112,(206) 555 - 4115
DUMON,Дю Монд энтье,Джанин Лабрун,Владелец,"67, rue des Cinquante Otages",Нант,,44000,Франция,40.67.88.88,40.67.89.89
OTTIK,Оттилисы Кселаден,Генриетта Пфальцхайм,Владелец,Mehrheimerstr. 369,Клн,,50739,Германия,0221-0644327,0221-0765721
WARTH,Вартиан Херкку,Пирко Коскитало,Бухгалтер,Торикату 38,Оулу,,90110,Германия,981-443655,981-443655
MAISD,Мэйсон Дьюи,Кэтрин Дьюи,Агент по продаже,Ру Джозеф-Бенс 532,Брюсель,,B-1180,Бельгия,(02) 201 24 67,(02) 201 24 68
FOLIG,Фоли гурманды,Мартина Ранч,Помощник агента по продаже,"184, chausse de Tournai",Лилль,,59000,Франция,20.16.10.16,20.16.10.17
LAMAI,Мейсон д'Аси,Аннет Руле,Менеджер по продажам,1 ру-эль-эс-Лоррейн,Тулуза,,31000,Франция,61.77.61.10,61.77.61.11
COMMI,Комрсио Минейро,Педро Афонсо,Ассоциированный сотрудник по продажам,"Av. dos Lusadas, 23",Сан-Паулу,СП,05432-043,Бразилия,11) 555-7647,
VICTE,Виктуайлы в запасе,Мэри Сэйвли,Агент по продаже,"2, rue du Commerce",Лион,,69004,Франция,78.32.54.86,78.32.54.87
PRINI,Принцесса Изабель Виньос,Изабель де Кастро,Представитель по продажам,"&quot; Эстрада да сад &quot; , No 58",Лисбоа,,1756,Португалия,1) 356-5634,
PERIC,Comidas clsicas,Гильермо Ферндес,Представитель по продажам,Звоните д-ру Хорхе Кэшу 321,Mxico D.F.,,05033,Мексика,5) 552-3745,5) 545-3745
THECR,Коробка для крекеров,Лю Вонг,Помощник по маркетингу,55 Grizzly Peak Rd.,Бутылка,МТ,59801,США,(406) 555-5834,(406) 555-8083
CENTC,Центральная комикция &quot; Моктезума &quot;,Франциско Чанг,Управляющий маркетингом,Сьерра-де-Гранада 9993,Mxico D.F.,,05022,Мексика,5) 555-3392,5) 555-7293
BERGS,Берглунды сбивают с толку,Кристина Берглунд,Администратор Порядка,Бергувсвген 8,Луле,,S-958 22,Франция,0921-12 34 65,0921-12 34 67
HANAR,Ханари Карнс,Марио Понтес,Бухгалтер,"Руа-ду-Пао, 67",Рио-де-Жанейро,RJ,05454-876,Бразилия,(21) 555-0091,(21) 555-8765
ERNSH,Эрнст Хандель,Роланд Мендель,Менеджер по продажам,Кирчгассе 6,Грац,,8010,Австрия,7675-3425,7675-3426
LONEP,Одинокий сосновый ресторан,Фрэн Уилсон,Менеджер по продажам,89 Chiaroscuro Rd.,Портленд,ИЛИ,97219,США,(503) 555-9573,(503) 555-9646
SIMOB,Саймонс Бистро,Житта Петерсен,Владелец,Винблит 34,Кобенхавн,,1734,Дания,31 12 34 56,31 13 35 57
LILAS,ЛИЛА-Супермеркадо,Карлос Гонсалес,Бухгалтер,Каррера 52 con Ave. Bolvar #65-98 Llano Largo,Баркисимето,Лара,3508,Венесуэла,9) 331-6954,9) 331 - 7256
TRAIH,Голова трейла Gourmet Productioners,Гельветий Надьяма,Ассоциированный сотрудник по продажам,722 DaVinci Blvd.,Киркленд,WA,98034,США,(206) 555-8257,(206) 555-2174
QUICK,Стоп-стоп,Хорст Клосс,Бухгалтер,Таучерстра 10,Кновальде,,01307,Германия,0372-035188,
LACOR,Ла-Роман д'Энденс,Дэниел Тонини,Представитель по продажам,"67, канал &quot; Европа &quot;",Версаль,,78000,Франция,30.59.84.10,30.59.85.11
LEHMS,Lehmanns Marktstand,Ренат Месснер,Представитель по продажам,Магазинвег 7,Франкфурт.,,60528,Германия,069-0245984,069-0245874
THEBI,Большой сыр,Лиз Никсон,Управляющий маркетингом,89 Jefferson Way Suite 2,Портленд,ИЛИ,97201,США,(503) 555-3612,
RANCH,Грань Ранчо,Серхио Гутиррес,Представитель по продажам,Ав. дель Либертадор 900,Буэнос-Айрес,,1010,Аргентина,1) 123-5555,1) 123-5556
HILAA,ГИЛАРИОН-Абастос,Карлос Эрндес,Представитель по продажам,Каррера 22 ав. Карлос Сублетт #8-35,Сан-Кристбал,Чира,5022,Венесуэла,5) 555-1340,5) 555-1948
CHOPS,Чоп-дуэй китайцы,Ян Ван,Владелец,Hauptstr. 29,Берн,,3012,Швейцария,0452-076545,
SEVES,Импорт семи морей,Хари Кумар,Менеджер по продажам,90 Вадхёрст Рд.,Лондон,,OX15 4NB,Соединенное Королевство,(171) 555-1717,(171) 555-5646
GOURL,Гурмет Ланчонеты,Андр Фонсека,Ассоциированный сотрудник по продажам,"Ав. Бразил, 442",Кампинас,СП,04876-786,Бразилия,11) 555-9482,
BOLID,Подготовка &lt; &lt; Блидо комидас &gt; &gt;,Мартн Соммер,Владелец,"С/ Аракил, 67",Мадрид,,28023,Испания,(91) 555 22 82,(91) 555 91 99
VINET,Шевалье,Пол Генриот,Бухгалтер,59 rue de l'Abbaye,Реймс,,51100,Франция,26.47.15.10,26.47.15.11
EASTC,Восточная связь,Энн Девон,Агент по продаже,35 Король Георг,Лондон,,WX3 6FW,Соединенное Королевство,(171) 555-0297,(171) 555-3373
OLDWO,Старый мир Деликатссен,Рене Филлипс,Представитель по продажам,2743 Bering St.,Крепление,АК,99508,США,(907) 555-7584,(907) 555-2880
RICSU,Ричтер Супермаркет,Майкл Хольц,Менеджер по продажам,Грензахервег 237,Джентльмены,,1203,Швейцария,0897-034214,
SPECD,&lt; &lt; Спциалиты мира &gt; &gt;,Доминик Перьер,Управляющий маркетингом,"25, rue Lauriston",Париж,,75016,Франция,"1) 47,55.60.10",1) 47.55.60.20
ANTON,Антонио Морено Такера,Антонио Морено,Владелец,Матадерос 2312,Mxico D.F.,,05023,Мексика,5) 555-3932,
LAZYK,Ленивый магазин K Kountry,Джон Стил,Управляющий маркетингом,12 Оркестра Терраса,Уолла Уолла,WA,99362,США,(509) 555-7969,(509) 555-6221
AROUT,Вокруг Рога,Томас Харди,Представитель по продажам,120 Ganover Sq.,Лондон,,WA1 1DP,Соединенное Королевство,(171) 555-7788,(171) 555-6750
QUEEN,Королева Козинья,Лсия Карвальо,Помощник по маркетингу,"Alameda dos Canrios, 891",Сан-Паулу,СП,05487-020,Бразилия,11) 555-1189,
TORTU,Ресторан &lt; &lt; Тортуга &gt; &gt;,Мигель Анхель Паолино,Владелец,Авда. &lt; &lt; Ацтека &gt; &gt; 123,Mxico D.F.,,05033,Мексика,5) 555-2933,
GODOS,Годос Коцина Типа,Джос Педро Фрейре,Менеджер по продажам,"С/ Ромеро, 33",Севилья,,41101,Испания,(95) 555 82 82,
RATTC,Рэттлеснайк Каньон Гроучери,Паула Уилсон,Помощник представителя по продажам,2817 Milton Dr.,Альбукерке,НМ,87110,США,(505) 555-5939,(505) 555-3620
ALFKI,Альфредс Футтеркисте,Мария Андерс,Представитель по продажам,Стр. 57,Берлин,,12209,Германия,030-0074321,030-0076545
TRADH,Tradio Hipermercados,Анабела Домингс,Представитель по продажам,"Av. Ins de Casto, 414",Сан-Паулу,СП,05634-030,Бразилия,11) 555-2167,11) 555-2168
LETSS,Остановим N-шоп.,Джейме Йоррес,Владелец,87 Polk St. Suite 5,Сан-Франциско,КА,94117,США,(415) 555-5938,
FRANR,Реставрация во Франции,Кэрин Шмитт,Управляющий маркетингом,"54, Rue Royale",Нант,,44000,Франция,40.32.21.21,40.32.21.20
PICCO,Пикколо und mehr,Георг Пиппс,Менеджер по продажам,Гейслвег 14,Зальцбург,,5020,Австрия,6562-9722,6562-9723
TOMSP,Toms Spezialitten,Карин Джозефс,Управляющий маркетингом,Луисенстр. 48,Ммстер,,44087,Германия,0251-031259,0251-035695
FRANK,Франкенверс и,Питер Франкен,Управляющий маркетингом,Берлинский платец 43,Мнхен,,80805,Германия,089-0877310,089-0877451
LINOD,LINO-Delicates,Фелипе Изкьердо,Владелец,Аве. 5 де Майо Порламар,И. де Маргарита,Нуэва Эспарта,4980,Венесуэла,8) 34 - 56 12,8) 34-93-93
WILMK,Вилман Кала,Матти Карттунен,Помощник по вопросам владения/маркетинга,Keskuskatu 45,Хельсинки,,21240,Германия,90-224 8858,90-224 8858
BOTTM,Рынки дотла,Элизабет Линкольн,Бухгалтер,23 Цавассен Блвд.,Цавассен,БК,T2F 8M4,Канада,(604) 555-4729,(604) 555-3745
QUEDE,Que Delcia,Бернардо Батиста,Бухгалтер,"&lt; &lt; Руа да панификадора &gt; &gt; , 12",Рио-де-Жанейро,RJ,02389-673,Бразилия,(21) 555 - 4252,(21) 555-4545
DRACD,Drachenblut Delikatessen,Свен Отлиб,Администратор Порядка,Уолсервег 21,Ахен,,52066,Германия,0241-039123,0241-059428
FURIB,Фурия Бакалау и Фрутос,Лино Родригес,Менеджер по продажам,Jardim das Rosas n. 32,Лисбоа,,1675,Португалия,1) 354-2534,1) 354-2535
GALED,Галара дель Гастрномо,Эдуардо Сааведра,Управляющий маркетингом,"Рамбла-де-Каталуа, 23",Барселона,,08022,Испания,(93) 203 4560,(93) 203 4561
GREAL,Продовольственный рынок Великих озер,Говард Снайдер,Управляющий маркетингом,2732 Бейкер Блвд.,Юджин,ИЛИ,97403,США,(503) 555-7555,
SANTG,Сант Гурмет,Джонас Бергульфсен,Владелец,Ворота Эрлинг Скэккс 78,Ставерн,,4110,Норвегия,07-98 92 35,07-98 92 47
MORGK,Моргенстерн Гесундкост,Александр Фауэр,Помощник по маркетингу,Стр. 22,Лейпциг,,04179,Германия,0342-023176,
CONSH,Консолидированные запасы,Элизабет Браун,Представитель по продажам,Беркли Гарденс 12 пивоварня,Лондон,,WX1 6LT,Соединенное Королевство,(171) 555-2282,(171) 555-9199
CACTU,Кактус Comidas para lelvar,Патрисио Симпсон,Агент по продаже,Серрито 333,Буэнос-Айрес,,1010,Аргентина,1) 135-5555,1) 135-4892
KOENE,Ноглич Эссен,Филипп Крамер,Ассоциированный сотрудник по продажам,Маубельстр. 90,Бранденбург,,14776,Германия,0555-09876,
GROSR,ГРОСЕЛЛА-РЕСТУРЕНТ,Мануэль Перейра,Владелец,Лос-Палос Грандес,Каракас,DF,1081,Венесуэла,2) 283-2951,(2) 283-3397
FRANS,Фрэнки С.П.А.,Паоло Аккорти,Представитель по продажам,Виа Монте Бьянко 34,Торино,,10100,Италия,011-4988260,011-4988261
OCEAN,Окано Атлинтико Лтда.,Ивонн Монкада,Агент по продаже,Инг. Густаво Монкада 8585 Писо 20-А,Буэнос-Айрес,,1010,Аргентина,1) 135-5333,1) 135-5535
REGGC,Реджиани Касифици,Маурицио Морони,Ассоциированный сотрудник по продажам,Провинция Страда 124,Реджио Эмилия,,42100,Италия,0522-556721,0522-556722
ISLAT,&quot; Островная торговля &quot;,Хелен Беннетт,Управляющий маркетингом,Сад-Хаус - дорога для бродяг,Коусы,Остров Уайт,PO31 7PJ,Соединенное Королевство,(198) 555-8888,
